id,mode,tier,group,experiment,setting,algorithm,setup,arm,reduced_from_k,dataset,model,loss,group_n,coset_subgroup,task,optimizer,p,hidden_width,n_layers,activation,init_scale,batch_size,n_train,n_test,alpha,seed,num_clients,local_epochs,num_rounds,fraction_train,partition,dirichlet_alpha,proximal_mu,strategy,server_lr,server_momentum,tau,eval_every,checkpoint_every,epochs,log_every,momentum,lr,weight_decay,grok_threshold,t_grok,t_first_cross,t_50,t_memo,delay,post_grok_dips,final_acc,final_train_acc,peak_train_acc,final_ipr,grokked,censored,steps_run,wall_s,checkpoint_client_weights,d_mlp,feddyn_alpha,n_heads,persist_local_opt_state,track_client_drift
fede_a7e28c4b9c37,federated,S2,grok_confirm_fl,probe,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,42,5,5,6000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,10,0,10000,100,0.0,0.001,1.0,85.0,3950.0,3950.0,2800.0,1350.0,2600.0,0,99.97222423553467,100.0,100.0,nan,True,False,30000.0,906.1,,,,,,
fede_aa7d3c44149b,federated,S2b,probe_rerun,gate_a,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,42,10,5,10000,1.0,operand,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.001,1.0,85.0,inf,inf,26500.0,17400.0,inf,0,61.569446325302124,99.76389408111572,99.83333349227905,nan,False,True,50000.0,1707.7,False,512,0.01,4,False,True
fede_aaf52a9b1e33,federated,T5,participation_setups,exp4b,,,C,,,s5,transformer,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,42,20,5,80000,0.5,iid,0.5,0.0,fedavg,1.0,0.0,0.001,40,8000,10000,100,0.0,0.001,1.0,85.0,4000.0,4000.0,4000.0,3900.0,100.0,0,100.0,100.0,100.0,nan,True,False,200000.0,19993.9,True,512,0.01,4,False,True
fede_aba6f53c4e77,federated,T3b,partitions,exp3b,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,42,5,5,50000,1.0,coset,0.5,0.0,fedavg,1.0,0.0,0.001,20,5000,10000,100,0.0,0.001,1.0,85.0,inf,inf,61500.0,3100.0,inf,0,70.75396776199341,100.0,100.0,nan,False,True,250000.0,7956.2,True,512,0.01,4,False,True
fede_ac36e996c71d,federated,T5,local_epochs,exp_e,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,42,10,25,10000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,4,1000,10000,100,0.0,0.001,1.0,85.0,218400.0,128800.0,25700.0,3300.0,215100.0,662,86.08134984970093,100.0,100.0,nan,True,False,250000.0,5905.2,True,512,0.01,4,False,True
fede_addition_009ba0f87f0f,federated,T2,aggregation,exp2,,,A',fl,,modular,groknet,mse,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.2,123,20,5,20000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,2000,10000,100,0.0,0.001,0.1,95.0,53400.0,53400.0,44300.0,2300.0,51100.0,0,100.0,100.0,100.0,0.28793054819107056,True,False,100000.0,3958.7,True,512,0.01,4,False,True
fede_addition_00e47a164a52,federated,S2,adam_restart,probe,,,B,,,modular,transformer,ce,5,s_nm1,addition,adamw,113,128,3,quadratic,1.0,0,1000,5000,0.3,42,10,50,2000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.001,1.0,95.0,78000.0,78000.0,13000.0,79000.0,-1000.0,0,98.10941219329834,99.45169687271118,99.5039165019989,nan,True,False,100000.0,972.1,False,512,0.01,4,False,True
fede_addition_010087acef8d,federated,T3b,partitions,exp3b,,,A,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.3,123,10,5,10000,1.0,dirichlet,0.5,0.0,fedavg,1.0,0.0,0.001,20,1000,10000,100,0.0,50.0,0.0,95.0,13000.0,13000.0,10900.0,3700.0,9300.0,0,100.0,100.0,100.0,0.4213516116142273,True,False,50000.0,2361.5,True,512,0.01,4,False,True
fede_addition_0166a6f61a15,federated,T3,algorithms,algo,H1,scaffold,,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.25,1011,10,25,10000,1.0,iid,0.5,0.0,scaffold,1.0,0.0,0.001,20,0,10000,100,0.0,50.0,0.0,95.0,4500.0,4500.0,3500.0,1000.0,3500.0,0,99.71659779548645,100.0,100.0,0.4840831160545349,True,False,250000.0,2769.1,False,512,0.01,4,False,True
fede_addition_01cd398ba402,federated,T4b,participation,exp4b,,,A,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.25,123,50,5,33400,0.6,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,1670,10000,100,0.0,50.0,0.0,95.0,25920.076530615646,25920.076530615646,19560.15306122481,2040.0318877551042,23880.044642860543,0,99.98583197593689,100.0,100.0,0.428409606218338,True,False,100199.87244893494,8425.1,True,512,0.01,4,False,True
