id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,path,step_a,step_b,barrier_train_loss,barrier_rel,min_test_acc_path,min_test_acc_lambda,test_acc_mid,test_acc_start,test_acc_end,train_loss_start,train_loss_end
fede_addition_ca52282f81b3,A,federated,dirichlet_band,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,1.0,dirichlet,1.0,fedavg,1.0,0.0,20000,10000,95.0,3300.0,43800.0,43800.0,True,100.0,100.0,100000.0,dirichlet,init_to_end,0.0,100000.0,0.0026340937183704227,0.5045456264544242,0.906900942325592,0.0,100.0,0.906900942325592,100.0,0.010312424041330814,0.00012902497837785631
fede_addition_ca52282f81b3,A,federated,dirichlet_band,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,1.0,dirichlet,1.0,fedavg,1.0,0.0,20000,10000,95.0,3300.0,43800.0,43800.0,True,100.0,100.0,100000.0,dirichlet,fed_to_twin,100000.0,100000.0,0.009828495674810256,142.29227420378612,99.97166442871094,0.30000000000000004,99.97166442871094,100.0,100.0,0.00012902497837785631,9.120198228629306e-06
fede_addition_cbb5d7c97c6a,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,42,50,5,1.0,target,0.5,fedavg,1.0,0.0,10000,10000,95.0,34900.0,28200.0,28200.0,True,100.0,100.0,50000.0,partition,memo_to_end,35000.0,50000.0,9.536463767290289e-06,0.0018663913537252318,97.99604797363281,0.0,99.62046813964844,97.99604797363281,100.0,0.0053187208250164986,0.004900426138192415
fede_addition_cbb5d7c97c6a,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,42,50,5,1.0,target,0.5,fedavg,1.0,0.0,10000,10000,95.0,34900.0,28200.0,28200.0,True,100.0,100.0,50000.0,partition,init_to_end,0.0,50000.0,0.0012932803481817239,0.17003136793721296,0.9412479400634766,0.0,97.52542877197266,0.9412479400634766,100.0,0.01031182985752821,0.004900426138192415
fede_addition_cbb5d7c97c6a,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,42,50,5,1.0,target,0.5,fedavg,1.0,0.0,10000,10000,95.0,34900.0,28200.0,28200.0,True,100.0,100.0,50000.0,partition,fed_to_twin,50000.0,50000.0,0.005450558908705716,2.2109985288801095,99.89373016357422,0.4,99.95445251464844,100.0,100.0,0.004900426138192415,2.997868796228431e-05
fede_addition_cc2488fa1dc1,B,federated,partitions,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,42,20,5,1.0,operand,0.5,fedavg,1.0,0.0,20000,10000,95.0,26000.0,25700.0,25700.0,True,100.0,100.0,100000.0,partition,memo_to_end,30000.0,100000.0,4.03106387589537,487795.21653413546,8.53563117980957,0.5,8.53563117980957,99.98881530761719,100.0,2.373375991737703e-06,1.4154313248582184e-05
fede_addition_cc2488fa1dc1,B,federated,partitions,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,42,20,5,1.0,operand,0.5,fedavg,1.0,0.0,20000,10000,95.0,26000.0,25700.0,25700.0,True,100.0,100.0,100000.0,partition,init_to_end,0.0,100000.0,2.126035527289787,0.8955901329938533,0.9508894085884094,0.2,3.792370557785034,0.9844501614570618,100.0,4.747772693634033,1.4154313248582184e-05
fede_addition_cc2488fa1dc1,B,federated,partitions,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,42,20,5,1.0,operand,0.5,fedavg,1.0,0.0,20000,10000,95.0,26000.0,25700.0,25700.0,True,100.0,100.0,100000.0,partition,fed_to_twin,100000.0,100000.0,4.47849076461867,620512.4761845376,5.4704108238220215,0.5,5.4704108238220215,100.0,100.0,1.4154313248582184e-05,2.804997052407998e-07
fede_addition_cd1e65d61038,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,123,50,5,1.0,target,0.5,fedavg,1.0,0.0,10000,10000,95.0,36700.0,30300.0,30300.0,True,100.0,100.0,50000.0,partition,memo_to_end,35000.0,50000.0,2.375105395913124e-05,0.004612345913012087,96.6752700805664,0.0,99.11947631835938,96.6752700805664,100.0,0.0053773000836372375,0.004921603947877884
fede_addition_cd1e65d61038,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,123,50,5,1.0,target,0.5,fedavg,1.0,0.0,10000,10000,95.0,36700.0,30300.0,30300.0,True,100.0,100.0,50000.0,partition,init_to_end,0.0,50000.0,0.0012872563675045967,0.16899372463706716,0.9108850955963135,0.0,96.70563507080078,0.9108850955963135,100.0,0.010312764905393124,0.004921603947877884
