id,setup,mode,group,axis,step,irrep,in_fraction,out_fraction
cent_00b37bf30d15,D,centralized,d_internals,centralised,3500.0,221,0.2034678646357789,0.19975752353416007
cent_00b37bf30d15,D,centralized,d_internals,centralised,3500.0,2111,0.13884982646910468,0.1384040087621258
cent_00b37bf30d15,D,centralized,d_internals,centralised,3500.0,11111,0.019082153902901963,0.02214563843947887
cent_00b37bf30d15,D,centralized,d_internals,centralised,4000.0,5,0.0037398606466348483,0.002559858860036631
cent_00b37bf30d15,D,centralized,d_internals,centralised,4000.0,41,0.18494839051449108,0.18913176372698073
cent_00b37bf30d15,D,centralized,d_internals,centralised,4000.0,32,0.19299860555305115,0.1931610594089485
cent_00b37bf30d15,D,centralized,d_internals,centralised,4000.0,311,0.2555946475621175,0.253055779848101
cent_00b37bf30d15,D,centralized,d_internals,centralised,4000.0,221,0.20587427334087804,0.20158475005393217
cent_00b37bf30d15,D,centralized,d_internals,centralised,4000.0,2111,0.13886855772311119,0.13961819955763163
cent_00b37bf30d15,D,centralized,d_internals,centralised,4000.0,11111,0.01797566465971619,0.02088858854436931
cent_00b37bf30d15,D,centralized,d_internals,centralised,5000.0,5,0.0036769506652484497,0.0025152643780009237
cent_00b37bf30d15,D,centralized,d_internals,centralised,5000.0,41,0.1791798483318311,0.18095672292350157
cent_00b37bf30d15,D,centralized,d_internals,centralised,5000.0,32,0.19484629224247432,0.19661005892450084
cent_00b37bf30d15,D,centralized,d_internals,centralised,5000.0,311,0.2557998265563584,0.25240823103045484
cent_00b37bf30d15,D,centralized,d_internals,centralised,5000.0,221,0.2106108301155683,0.2062240956974964
cent_00b37bf30d15,D,centralized,d_internals,centralised,5000.0,2111,0.13948168209679435,0.14257468767738143
cent_00b37bf30d15,D,centralized,d_internals,centralised,5000.0,11111,0.016404569991725064,0.018710939368664012
cent_00b37bf30d15,D,centralized,d_internals,centralised,6000.0,5,0.0035539004993908646,0.002609102938335326
cent_00b37bf30d15,D,centralized,d_internals,centralised,6000.0,41,0.17290410635214032,0.17284427621978982
cent_00b37bf30d15,D,centralized,d_internals,centralised,6000.0,32,0.19432015183537096,0.19707759474391995
cent_00b37bf30d15,D,centralized,d_internals,centralised,6000.0,311,0.2597504244094082,0.2553872134425847
cent_00b37bf30d15,D,centralized,d_internals,centralised,6000.0,221,0.21460133346884522,0.21038940476632906
cent_00b37bf30d15,D,centralized,d_internals,centralised,6000.0,2111,0.13937876208426733,0.1443858496111186
cent_00b37bf30d15,D,centralized,d_internals,centralised,6000.0,11111,0.015491321350577058,0.017306558277922574
cent_00b37bf30d15,D,centralized,d_internals,centralised,6500.0,5,0.0034469314215118526,0.0026464280379985316
cent_00b37bf30d15,D,centralized,d_internals,centralised,6500.0,41,0.1692079871625062,0.16897147482264535
cent_00b37bf30d15,D,centralized,d_internals,centralised,6500.0,32,0.19378648954439395,0.19688166211998165
cent_00b37bf30d15,D,centralized,d_internals,centralised,6500.0,311,0.2628974646192007,0.2580203561158313
cent_00b37bf30d15,D,centralized,d_internals,centralised,6500.0,221,0.21610191403360482,0.21193346984568032
cent_00b37bf30d15,D,centralized,d_internals,centralised,6500.0,2111,0.13928600385778558,0.1446003017202193
cent_00b37bf30d15,D,centralized,d_internals,centralised,6500.0,11111,0.015273209360996859,0.016946307337643587
cent_00b37bf30d15,D,centralized,d_internals,centralised,7000.0,5,0.0033706399485063216,0.0026829638499761355
cent_00b37bf30d15,D,centralized,d_internals,centralised,7000.0,41,0.1654425560177445,0.16538177288685982
cent_00b37bf30d15,D,centralized,d_internals,centralised,7000.0,32,0.19295473304652974,0.19651829271896873
cent_00b37bf30d15,D,centralized,d_internals,centralised,7000.0,311,0.26640917207382575,0.2611307573727941
cent_00b37bf30d15,D,centralized,d_internals,centralised,7000.0,221,0.2172611561810773,0.2130162181410623
cent_00b37bf30d15,D,centralized,d_internals,centralised,7000.0,2111,0.13946749316788523,0.14457163834375317
cent_00b37bf30d15,D,centralized,d_internals,centralised,7000.0,11111,0.01509424956443114,0.0166983566865857
cent_00b37bf30d15,D,centralized,d_internals,centralised,8000.0,5,0.0033539082208395594,0.0027670910956814755
cent_00b37bf30d15,D,centralized,d_internals,centralised,8000.0,41,0.15916502101629348,0.15939390188979236
cent_00b37bf30d15,D,centralized,d_internals,centralised,8000.0,32,0.1910719771227254,0.19575021293446165
cent_00b37bf30d15,D,centralized,d_internals,centralised,8000.0,311,0.273888465242631,0.2681825133719928
cent_00b37bf30d15,D,centralized,d_internals,centralised,8000.0,221,0.21904795751183906,0.21499939918672145
cent_00b37bf30d15,D,centralized,d_internals,centralised,8000.0,2111,0.13905288293124027,0.14305939043599325
cent_00b37bf30d15,D,centralized,d_internals,centralised,8000.0,11111,0.014419787954431273,0.015847491085357015
cent_00b37bf30d15,D,centralized,d_internals,centralised,8500.0,5,0.0033880082716104417,0.002785408673169124
cent_00b37bf30d15,D,centralized,d_internals,centralised,8500.0,41,0.15695860143715165,0.15709808723494664
cent_00b37bf30d15,D,centralized,d_internals,centralised,8500.0,32,0.1905835087167381,0.19554719487303682
cent_00b37bf30d15,D,centralized,d_internals,centralised,8500.0,311,0.277518522747424,0.27208999705278875
