setup,metric,n_crossed,n_memorised_not_crossed,rho_memo_vs_log_delay,p_memo_delay,n_memo,rho_memo_vs_log_tcross,rho_cross_vs_log_delay,p_cross_delay,n_cross,rho_cross_vs_log_tcross,auc_memo_crossed_vs_not
A,fV_dc_share,52,9,-0.0026081785751630336,0.9854335982875123,52,0.3409643338184608,0.06588857679223337,0.6441607694620405,52,0.3973927340993495,0.10683760683760683
A,fV_top1_share,52,9,-0.41611137530305975,0.0019296024502918308,52,-0.061472757275695414,0.1709853462635569,0.22675100342020404,52,0.5354713196351605,0.8782051282051282
A,fV_nfreq90,52,9,0.4626522551633233,0.00045701171076334635,52,-0.3855618153312143,0.4366330130249447,0.0010512399829899956,52,-0.14365448717075177,0.46153846153846156
A,fV_freq_gini,52,9,-0.14922202011998342,0.2926103343284092,52,0.2615798343323924,0.12245612195519556,0.38895363699974994,52,0.46001970865351766,0.8803418803418803
A,fV_freq_eff_n,52,9,0.16807786850763748,0.23490593013742728,52,-0.23964970604141064,-0.09611779404863116,0.49973414600085303,52,-0.44048351249566453,0.12393162393162394
A,fout_ipr,52,9,-0.6106985998205511,6.686904591430037e-07,52,-0.252303347316519,-0.6190362198559082,4.103620756429002e-07,52,-0.9488948492688535,0.8931623931623932
A,fout_dc_share,52,9,-0.32871601452218696,0.016861393166144288,52,-0.6987289413569134,-0.6430229113422437,9.133245369092558e-08,52,-0.44676758434512714,0.3055555555555556
A,fout_top1_share,52,9,-0.11672668049500136,0.4117440380643071,52,0.2647432446511695,0.3542419589381268,0.009541897157425181,52,0.7545161098164285,0.9594017094017094
A,fout_nfreq90,52,9,0.3409009149949401,0.012926752749430191,52,-0.3482346438344221,0.1575803025630671,0.26599592117140003,52,-0.4673368594018625,0.4423076923076923
A,fout_freq_gini,52,9,-0.14704141180304386,0.2998263809930365,52,0.24405283121484364,0.11116826713809651,0.4345628463664535,52,0.5009730476452535,0.9081196581196581
A,fout_freq_eff_n,52,9,0.14503183158939362,0.3065763999643936,52,-0.24619027061942272,-0.2537629482556165,0.06936811155806645,52,-0.646789163825641,0.09829059829059829
A,fin_uv_agree_strong,52,9,-0.6330731807152841,1.7349964466075904e-07,52,-0.2950331194274514,-0.556948181620636,1.0885782831532852e-05,52,-0.7959073337566474,0.8952991452991453
A,fin_uvw_agree_strong,52,9,-0.5267246787087098,4.145637870558708e-05,52,-0.14670110151905313,-0.6150785717245866,5.184693745846132e-07,52,-0.8415845215285871,0.9252136752136753
A,fin_n_unique_freq_strong,52,9,0.5172035687529066,6.133844439758832e-05,52,0.16985477463389656,0.25421405047062884,0.06885192010813217,52,-0.15576455752880317,0.4754273504273504
A,clock_share,52,9,-0.5815383082097119,3.2636706905241783e-06,52,-0.22075474170493126,-0.9526265353218425,9.918331264345921e-39,52,-0.6974037289260745,0.8910256410256411
A,clock_nfreq90,52,9,0.22387692950456106,0.11090528096193694,52,-0.24223631952069619,-0.5494893953742347,1.535404723448632e-05,52,-0.8652893045200075,0.14102564102564102
A,clock_top1_share,52,9,0.16713721393954586,0.23758641943185638,52,0.37281218094668966,0.6215588843794266,3.528331212185622e-07,52,0.894689385968727,0.8205128205128205
A,clock_freq_gini,52,9,-0.09308204521524466,0.513455924440478,52,0.3243350552508353,0.5833768603200726,2.9688151301841876e-06,52,0.9006742163015485,0.8910256410256411
A,clock_key_jaccard_final,52,9,0.16743992256754456,0.23672156842766678,52,0.47118240496438374,-0.4652835815629979,0.0004183384629788864,52,-0.09395068079506391,0.38461538461538464
A,clock_restricted_loss_tr,52,9,0.020908185627126614,0.883622494966588,52,-0.34861636688685405,0.5812817660547779,3.306901664597581e-06,52,0.9197829245784859,0.14316239316239315
A,clock_restricted_acc_tr,52,9,,,52,,,,52,,0.6666666666666666
A,clock_excluded_loss_tr,52,9,-0.21626503660942006,0.12401394368713702,52,0.10875291690498551,-0.7948958670632124,3.14651046437984e-14,52,-0.5388057251063039,0.9636752136752137
A,clock_excluded_acc_tr,52,9,-0.0746700018179969,0.6005117622666556,52,-0.510588793423659,0.8219457271535818,3.9690839450711213e-16,52,0.4571945746070223,0.1047008547008547
A,clock_restricted_loss_te,52,9,0.020908185627126614,0.883622494966588,52,-0.34861636688685405,0.5812817660547779,3.306901664597581e-06,52,0.9197829245784859,0.14316239316239315
A,clock_restricted_acc_te,52,9,,,52,,,,52,,0.5
A,clock_excluded_loss_te,52,9,0.7791185245347673,2.838065543128151e-13,52,0.5192695289484508,0.9433055036925713,3.768076478315917e-35,52,0.6287491752509932,0.6410256410256411
A,clock_excluded_acc_te,52,9,-0.28628658152259084,0.039244283756874686,52,0.1640559526695643,-0.7496051599634534,1.0149072970519328e-11,52,-0.5098881391441576,0.4423076923076923
A',fn_loss_tr,10,0,-0.3939393939393939,0.27053332338610575,10,-0.41818181818181815,-0.7696969696969697,0.006984859837794655,10,-0.7454545454545454,
A',fn_acc_tr,10,0,0.06079055436800646,0.8720656351569414,10,-0.01823716631040194,0.5222329678670935,0.12528521429488715,10,0.4061811972299616,
A',fn_margin_tr,10,0,0.07878787878787878,0.8345371760188613,10,0.1515151515151515,0.7696969696969697,0.006984859837794655,10,0.7454545454545454,
A',fn_entropy_tr,10,0,-0.33333333333333326,0.35917013537377374,10,-0.33333333333333326,-0.6242424242424242,0.052807109010362105,10,-0.5757575757575757,
A',fn_loss_te,10,0,0.3939393939393939,0.27053332338610575,10,0.406060606060606,-0.09090909090909088,0.8094088305716397,10,-0.04242424242424241,
A',fn_acc_te,10,0,-0.8181818181818182,0.002318817941149451,10,-0.7818181818181817,0.28484848484848485,0.43829532568339064,10,0.23636363636363633,
A',fn_margin_te,10,0,-0.43030303030303024,0.22331670274622484,10,-0.43030303030303024,0.6363636363636362,0.04662318012010586,10,0.6484848484848483,
A',fn_entropy_te,10,0,-0.35757575757575755,0.32227933064762704,10,-0.406060606060606,-0.41818181818181815,0.23853901084453155,10,-0.38181818181818183,
