setup,metric,n_runs,median_lead_frac_delay,frac_runs_leading
A',unit_frac_interacting,31,-0.17981072555205047,0.0967741935483871
A',unit_interaction_share,32,-0.5086073059360731,0.3125
A',unit_n_distinct_sum_freqs,9,0.37662337662337664,0.5555555555555556
A',unit_sum_freq_concentration,32,-0.022564812686124286,0.46875
A',w_W1_cos_init,32,0.17537558685446009,0.71875
A',w_W1_dist_init,32,-0.4493738926620404,0.3125
A',w_W1_eff_rank,32,-0.027750228519195612,0.46875
A',w_W1_entry_gini,32,-0.5220110618046176,0.28125
A',w_W1_fro,32,-0.5105351661249549,0.0625
A',w_W1_rel_dist_init,32,-0.4493738926620404,0.3125
A',w_W1_row_gini,32,-0.2411057692307692,0.34375
A',w_W1_row_pr,32,-0.30679281166450756,0.3125
A',w_W1_spec,32,-0.19429153691152223,0.34375
A',w_W1_stable_rank,32,-0.2395096463022508,0.375
A',w_W1_sv_gini,32,0.06703015963906594,0.59375
A',w_W2_cos_init,32,0.161782449725777,0.78125
A',w_W2_dist_init,32,-0.3980164007481043,0.21875
A',w_W2_eff_rank,32,-0.17919107706173953,0.3125
A',w_W2_entry_gini,32,-0.33191398946115924,0.21875
A',w_W2_fro,32,-0.3980164007481043,0.21875
A',w_W2_rel_dist_init,32,-0.3980164007481043,0.21875
A',w_W2_row_gini,32,-0.12539006717088907,0.34375
A',w_W2_row_pr,32,0.06345678100653546,0.5625
A',w_W2_spec,32,-0.5090720495258166,0.21875
A',w_W2_stable_rank,32,-0.17095238095238097,0.40625
A',w_W2_sv_gini,32,-0.1494536224401996,0.3125
A',w_all_cos_init,32,0.2421573062241586,0.71875
A',w_all_dist_init,32,-0.36866698383013163,0.4375
A',w_all_norm,32,-0.36553175310030883,0.25
A',w_all_rel_dist_init,32,-0.36866698383013163,0.4375
A',w_all_rel_norm,32,-0.36553175310030883,0.25
B,add_acc_additive_te,55,-0.8812056182978992,0.2
B,add_acc_additive_tr,54,-0.6945658571711457,0.24074074074074073
B,add_acc_interaction_te,53,-0.5079260960443922,0.2830188679245283
B,add_acc_interaction_tr,52,-0.31866893037513727,0.4423076923076923
B,add_acc_no_a_te,38,-0.07310104654867924,0.3157894736842105
B,add_acc_no_a_tr,33,0.2571884984025559,0.7272727272727273
B,add_acc_no_b_te,37,-0.0711105180057834,0.32432432432432434
B,add_acc_no_b_tr,32,0.25259545401141004,0.75
B,add_share_a,56,-0.966926010985159,0.44642857142857145
B,add_share_b,56,-1.1535657721119126,0.42857142857142855
B,add_share_interaction,56,-0.966926010985159,0.44642857142857145
B,attn_entropy_mean,56,-1.5619825708061001,0.3392857142857143
B,attn_to_a_head_spread,56,-1.1535657721119126,0.07142857142857142
B,attn_to_a_mean,56,-1.1535657721119126,0.23214285714285715
