setup,axis,series,n,median_lead_frac_delay,q25,q75,frac_leading
D,dirichlet,circ_acc_interaction,6,0.7873348660296837,0.7629563419037103,0.8152046234794771,1.0
D,dirichlet,irrep_structure_u,6,0.8554817947562428,0.8082332120809624,0.8806317322637798,1.0
D,f,test_loss,6,0.7849600456621004,0.747240911237016,0.8092488136807234,1.0
D,f,weight_norm_layer1,6,0.743257705479452,0.7164003482058545,0.7919464589488764,1.0
D,f,weight_norm_total,6,0.7504280821917808,0.7177024315391879,0.7860596293311846,1.0
D,f,coset_accuracy,6,0.8295876141552512,0.8061813916430595,0.836847524397887,1.0
D,f,circ_share_interaction,6,0.9442777110844338,0.8134430826154825,0.9916733816814396,1.0
D,f,circ_acc_interaction,6,0.8954052511415524,0.8908831024357432,0.8987949346405228,1.0
D,f,irrep_structure_u,6,0.825021404109589,0.67086406743941,0.8295524964589235,0.8333333333333334
D,other,test_loss,7,0.4166666666666667,-3.085964912280702,0.44505494505494503,0.5714285714285714
D,other,weight_norm_layer1,7,0.16666666666666666,-2.7210526315789476,0.2032967032967033,0.5714285714285714
D,other,weight_norm_total,7,0.25,-2.4894736842105263,0.2967032967032967,0.5714285714285714
D,other,coset_accuracy,7,0.4230769230769231,-0.5912280701754387,0.5,0.5714285714285714
E,E,test_loss,9,0.8235294117647058,0.8064516129032258,0.8611111111111112,1.0
E,E,weight_norm_total,9,0.2647058823529412,0.16666666666666666,0.425,1.0
E,K,test_loss,24,0.8900966183574879,0.873641304347826,0.9083951762523191,0.9166666666666666
E,K,weight_norm_total,24,0.5187643020594965,0.5,0.5416666666666666,1.0
E,all,test_loss,130,0.8657657657657658,0.7833333333333333,0.8960980036297641,0.9538461538461539
E,all,weight_norm_total,118,0.5,0.42589285714285713,0.554421768707483,0.9491525423728814
E,centralised,test_loss,54,0.8181818181818182,0.6,0.8888888888888888,0.9259259259259259
E,centralised,weight_norm_total,42,0.5,0.35,0.6272727272727272,0.8571428571428571
E,dirichlet,test_loss,12,0.8798701298701299,0.8662162162162163,0.8872586872586872,1.0
E,dirichlet,weight_norm_total,12,0.4864864864864865,0.45714285714285713,0.5576923076923077,1.0
E,f,test_loss,6,0.9017857142857143,0.8928571428571429,0.9188550420168067,1.0
E,f,weight_norm_total,6,0.5892857142857142,0.5399159663865546,0.6071428571428571,1.0
E,other,test_loss,19,0.8695652173913043,0.8356867779204107,0.902127659574468,1.0
E,other,weight_norm_total,19,0.5,0.4146341463414634,0.5444724720333406,1.0
E,partition,test_loss,6,0.8571428571428571,0.8476190476190476,0.8664596273291925,1.0
E,partition,weight_norm_total,6,0.48993055555555554,0.4453125,0.5190821256038647,1.0
